Iteration,Jitter_ns
0,626515
1,7671440
2,20468318
3,531335
4,-6285
5,-81637
6,54351977
7,122979861
8,3106740
9,1844348
10,35078098
11,20658018
12,1458291
13,19001144
14,-254221
15,2890303
16,2487458
17,2912840
18,518415
19,1662214
20,2787807
21,59520871
22,2485189
23,11013659
24,661108
25,2833737
26,3591698
27,1126250
28,-457946
29,14236886
30,23950133
31,-580431
32,2761445
33,-798722
34,65041
35,8441100
36,4990102
37,-496050
38,111118286
39,864565
40,8435933
41,1830980
42,1065623
43,1568798
44,3555887
45,4267433
46,577299
47,7176736
48,18161597
49,1120385
50,-260160
51,30777597
52,-129925
53,315265
54,-413346
55,31416
56,888030
57,53912
58,667986
59,171480
60,3021841
61,2995916
62,2972609
63,3018753
64,3107256
65,3041625
66,3008417
67,3103061
68,2935725
69,3370644
70,2662578
71,3208031
72,2823782
73,2554527
74,529090
75,1459414
76,4793036
77,-455782
78,30508312
79,1432838
80,-870496
81,3019252
82,2441706
83,10467
84,6505347
85,35396828
86,2650349
87,18800157
88,14910379
89,6837169
90,6260973
91,3652486
92,495738
93,1668670
94,-659685
95,10591769
96,2991140
97,26259387
98,-786837
99,19554142
100,6979219
101,2369705
102,11638419
103,2992571
104,14753007
105,23249788
106,6741810
107,3250852
108,16457730
109,41826556
110,-794209
111,20438024
112,-546523
113,30673678
114,-679125
115,4621725
116,3939313
117,20320157
118,1572488
119,6944797
120,2964847
121,-349646
122,404767
123,9261358
124,759400
125,6659536
126,902606
127,2287931
128,3519390
129,89567
130,5491237
131,582913
132,21631471
133,7311669
134,911011
135,-750812
136,114527
137,4713004
138,21950345
139,1176384
140,69080035
141,658497
142,-254183
143,1211494
144,-682028
145,-23989
146,1063084
147,15664185
148,2020678
149,922769
150,-460600
151,-158256
152,287070
153,51299878
154,295668
155,7348935
156,358560
157,1859783
158,442769
159,143698011
160,586412
161,23166
162,12763302
163,1603021
164,1384818
165,4545320
166,-534132
167,3204628
168,5662482
169,390683
170,30949346
171,1850109
172,821257
173,-529561
174,106173248
175,7779259
176,1299189
177,13948974
178,-595235
179,3648539
180,15527401
181,30762274
182,-529385
183,9477040
184,-1033511
185,-883292
186,1119348
187,1556829
188,15595721
189,-216899
190,41435191
191,3867435
192,-269982
193,14912927
194,9567501
195,3102516
196,11011495
197,4466643
198,20578379
199,-631722
200,19583005
201,9877716
202,-487578
203,20283085
204,6318434
205,13115025
206,-710826
207,20295477
208,11284852
209,646311
210,16956477
211,-46540
212,50556129
213,56794262
214,2773622
215,2926606
216,42068331
217,5115959
218,241512
219,-85810
220,12782829
221,30774179
222,1034253
223,26975
224,926934
225,1034598
226,1496455
227,6947281
228,-523944
229,8827630
230,1726076
231,-633820
232,518854
233,474706
234,307834
235,43371508
236,2447216
237,13048338
238,17875266
239,609365
240,10675863
241,11328459
242,18807484
243,-410632
244,51995159
245,13605109
246,10993277
247,3001911
248,756917
249,30974529
250,2123482
251,17570243
252,38174956
253,7087
254,450044
255,3268858
256,24121865
257,3148344
258,1192838
259,-215833
260,14276250
261,2636890
262,342420
263,-28619
264,11492475
265,-734220
266,1007571
267,13412369
268,-292724
269,2758284
270,5627567
271,994368
272,-300157
273,58620087
274,1150832
275,1043689
276,1427224
277,5859855
278,41289781
279,-745796
280,9874781
281,-872663
282,6840208
283,-730122
284,14971781
285,-39176
286,-10571
287,25060963
288,3140863
289,-130747
290,4134796
291,-103700
292,1431621
293,4015619
294,1647287
295,735288
296,11651590
297,7427897
298,20721717
299,920417
300,-384827
301,-282213
302,2458251
303,24358535
304,1983534
305,-803293
306,1161599
307,-189807
308,36963720
309,95625830
310,16035617
311,-613924
312,100218624
313,115646201
314,-766799
315,9830106
316,2169747
317,126631400
318,231468
319,44266992
320,2491196
321,43430486
322,12397613
323,980314
324,4944798
325,-118110
326,221351927
327,83751
328,375826
329,20806086
330,458458
331,14149344
332,186000
333,-482444
334,1308020
335,-215267
336,10219269
337,19737793
338,18255698
339,1286995
340,-792668
341,8500755
342,3006732
343,6913153
344,3075118
345,38032921
346,-644851
347,3618197
348,25856440
349,612526
350,110408629
351,8868082
352,5267970
353,9719475
354,-338169
355,43561076
356,-412857
357,3391067
358,9952380
359,276560
360,-801111
361,2695050
362,5889109
363,383573
364,87047232
365,5468382
366,12365996
367,-772473
368,1562949
369,7795093
370,249388894
371,593353
372,-367908
373,-38226
374,1380616
375,32120742
376,2191554
377,7049722
378,1892367
379,9717797
380,551695
381,-781263
382,3347784
383,10136933
384,22211466
385,-659074
386,251416
387,-408978
388,2500612
389,575674
390,1023265
391,39224317
392,1451547
393,4963887
394,13916223
395,737775
396,9210184
397,355787
398,9131693
399,30689749
400,-23498
401,-735582
402,50947625
403,431205
404,53728
405,-90905
406,1213598
407,-396131
408,97870929
409,2104909
410,1471158
411,210936
412,4908133
413,21476694
414,2868468
415,80963042
416,3590010
417,5506333
418,25491819
419,4544656
420,9445036
421,-483792
422,20296548
423,31128902
424,-563631
425,20632124
426,10952819
427,37124636
428,9187682
429,-102528
430,-611609
431,22865353
432,2448008
433,163098748
434,1718021
435,6270598
436,15111314
437,-719059
438,30587943
439,20800741
440,284780
441,-640735
442,680703
443,-381670
444,22271853
445,-563861
446,19369180
447,-393308
448,26233988
449,2934447
450,-10446
451,21811243
452,12299768
453,18781
454,12289560
455,15706385
456,-209189
457,1909339
458,3015575
459,2957523
460,19183821
461,5605581
462,16249549
463,4360746
464,-289779
465,1262356
466,36805155
467,424025
468,-325496
469,55028220
470,174821181
471,2935699
472,441294
473,423006
474,-548990
475,3872447
476,18729798
477,18684612
478,-546405
479,24646996
480,1924266
481,5460194
482,50939382
483,1046268
484,18739196
485,320980
486,17078560
487,26353494
488,3117298
489,-646116
490,1136524
491,1020279
492,-194636
493,1582277
494,4214835
495,9728825
496,290915
497,-784976
498,3738495
499,2564179
500,-357205
501,20715079
502,19169180
503,4007294
504,2160108
505,1568109
506,909729
507,494894
508,845249
509,3221243
510,393346
511,929394
512,-19261
513,3456292
514,-571410
515,54075
516,17014562
517,80900725
518,612895
519,-804543
520,12013572
521,2800612
522,-372974
523,907723
524,961022
525,8364879
526,701873
527,11195400
528,-587172
529,-20646
530,848020
531,2951058
532,3045666
533,-673928
534,2697603
535,3063532
536,185217
537,18392772
538,1376781
539,17684
540,-237299
541,3289905
542,2501765
543,2987640
544,2972031
545,2767839
546,1415988
547,410245
548,2776163
549,-576409
550,20430108
551,2350210
552,9625659
553,6942143
554,-574598
555,10624709
556,8510527
557,20601387
558,-736656
559,3566394
560,-87319
561,46036300
562,3655973
563,16674867
564,-837564
565,427028
566,-27036
567,1573329
568,1326805
569,1224769
570,4192262
571,-273874
572,13129730
573,319382
574,-794427
575,14091092
576,-182191
577,1927895
578,1084972
579,3419288
580,-290910
581,-41748
582,7973496
583,1539203
584,63484166
585,59358811
586,19442074
587,-550480
588,2409123
589,-733490
590,419834
591,9961329
592,3747620
593,1028063
594,3858348
595,2963971
596,30924526
597,2713591
598,-611807
599,65436188
600,2386378
601,-224730
602,3670540
603,7696612
604,2126257
605,3297602
606,10190433
607,10478080
608,19531141
609,153835
610,-765809
611,39375080
612,1712899
613,9147900
614,923327
615,7865208
616,10041031
617,441
618,2000484
619,859714
620,146435
621,665112
622,13819897
623,47108
624,46940157
625,1622080
626,295593
627,-485864
628,154412738
629,4971580
630,7585921
631,20553643
632,-495862
633,5556532
634,493957
635,13508482
636,-49889
637,164985875
638,1242897
639,-748245
640,25763392
641,11616736
642,3405837
643,9488883
644,59399313
645,-696353
646,11739814
647,-413052
648,71541
649,49610392
650,3455823
651,-224201
652,467808
653,976186
654,63936438
655,6386814
656,720938
657,3183391
658,3343211
659,2828637
660,3050670
661,889744
662,66578
663,3988694
664,13818452
665,-799607
666,11477428
667,144037
668,-650050
669,124446199
670,2746176
671,86908868
672,1366814
673,1747474
674,8866
675,1553299
676,545426
677,793412
678,1270990
679,2122564
680,3259633
681,602358
682,1674524
683,2993310
684,3006575
685,2729665
686,3177716
687,133697
688,1537786
689,32291241
690,396634
691,20274903
692,23537410
693,122995884
694,16122006
695,139199
696,-63822
697,960112
698,2730254
699,8387425
700,4114521
701,840418
702,33282344
703,2503065
704,-198145
705,2768933
706,-75870
707,13139875
708,-590243
709,185255
710,18280617
711,-433381
712,649455
713,1315367
714,26976012
715,-91896
716,1160497
717,86346
718,-355101
719,402565
720,1253310
721,1845564
722,289860
723,1813404
724,2941925
725,169128
726,-746133
727,28007280
728,2890207
729,-278936
730,-525316
731,4101480
732,3586767
733,98437
734,1172469
735,238701
736,17233394
737,3908343
738,14378197
739,-710865
740,52637954
741,-737102
742,28561164
743,491260
744,1585518
745,18959875
746,315068
747,-803321
748,124004344
749,1047986
750,1002260
751,284234
752,381216
753,4987558
754,-791392
755,20439055
756,2172335
757,17372406
758,30897637
759,-790990
760,521204
761,18869756
762,-454153
763,30885499
764,6697695
765,6996432
766,4813001
767,30913496
768,20583125
769,1141204
770,18178643
771,2689746
772,9827972
773,-538955
774,-156513
775,3123459
776,11392509
777,-579468
778,20255906
779,572962
780,3680138
781,2879170
782,1990942
783,487000
784,2037463
785,2894931
786,3083151
787,2974058
788,3429259
789,2850451
790,3181545
791,562589
792,-453623
793,10179889
794,1589659
795,1451625
796,-102043
797,-370358
798,3679577
799,1774323
800,147042147
801,43219832
802,1912979
803,548722
804,25496
805,-387356
806,624480
807,3588390
808,18258884
809,171707968
810,19590691
811,-628212
812,2023228
813,162232
814,1973631
815,1584166
816,184178
817,1625810
818,8259211
819,29492665
