Iteration,Jitter_ns
0,6016770
1,-390546
2,810702
3,18080319
4,-262156
5,62634448
6,-50874
7,8948944
8,-675742
9,7704603
10,58518
11,-803660
12,33739977
13,15140863
14,-736927
15,3849922
16,7870154
17,-806804
18,24666941
19,7926097
20,2130659
21,3952622
22,-745991
23,1795286
24,7223983
25,5416336
26,-385909
27,2411831
28,-409996
29,351130
30,2787048
31,905290
32,705736
33,23800223
34,31949339
35,3147992
36,13763520
37,10204054
38,-317446
39,10756060
40,-65929
41,2092148
42,3377680
43,2511472
44,2255843
45,3813722
46,1052949
47,1382043
48,204454
49,1442954
50,3117049
51,36087783
52,2998386
53,9791859
54,19859168
55,1498766
56,-492707
57,-15153
58,5934170
59,2143793
60,-55528
61,19339387
62,3658892
63,994981
64,674350
65,-573177
66,33669586
67,6217161
68,20679922
69,2884562
70,-570152
71,753042
72,-314319
73,60583284
74,5881468
75,-762512
76,2641141
77,27093132
78,-107628
79,10009099
80,8651035
81,1349160
82,18200649
83,3798905
84,15797529
85,20630146
86,8567325
87,3000205
88,3004198
89,10998906
90,1256786
91,744641
92,3000601
93,25575944
94,1600450
95,2349720
96,14590392
97,-390643
98,2905941
99,2516334
100,-860801
101,3228206
102,-263049
103,1947954
104,2983495
105,3009306
106,3044722
107,1852899
108,-617659
109,-208073
110,2877449
111,3497613
112,2391430
113,1814145
114,1099853
115,2788629
116,3029299
117,1517254
118,94578697
119,672309
120,3115099
121,2839597
122,3782459
123,2058891
124,3920095
125,1974631
126,2995021
127,72279
128,2353334
129,3319821
130,2757394
131,2310739
132,36392090
133,18164294
134,11332026
135,1218251
136,-780123
137,33611130
138,1509061
139,1605005
140,332589
141,31575
142,2459998
143,2640340
144,2475132
145,28252745
146,562227
147,-309678
148,616778
149,-68189
150,-375547
151,-330311
152,64013268
153,23090037
154,76368602
155,3436391
156,32664
157,3957404
158,10715085
159,-731857
160,10613113
161,-581418
162,82814308
163,7973978
164,1299146
165,20460890
166,7665938
167,21414163
168,95823567
169,-131268
170,2621568
171,6130772
172,20606369
173,2232051
174,29860423
175,7064084
176,521844
177,9827429
178,2531478
179,5297972
180,-54634
181,30698524
182,-62068
183,568545
184,92234173
185,1582058
186,18264859
187,6631132
188,59014637
189,-781172
190,2781575
191,2072510
