Iteration,Jitter_ns
0,13474030
1,679068
2,3634175
3,22475345
4,645610
5,912131
6,218303
7,18367299
8,78517665
9,8370774
10,6335847
11,365153
12,-489949
13,7905329
14,8899952
15,37309
16,9925453
17,41598174
18,9575696
19,4853102
20,50404601
21,6400985
22,919113
23,18703799
24,-632342
25,30586301
26,5779872
27,3848385
28,74915
29,17905549
30,281895
31,-459516
32,1605561
33,-660112
34,98290842
35,-143126
36,555906
37,-455309
38,-205601
39,51929
40,153943
41,-97858
42,-152836
43,90734
44,217265
45,-288416
46,57497
47,70992
48,43246757
49,2733071
50,2924617
51,2505394
52,-393855
53,-14717
54,-63183
55,783658
56,2660961
57,3610172
58,2878485
59,2870767
60,2536290
61,3108805
62,3763177
63,-252699
64,1433749
65,1989390
66,744418
67,12489222
68,-629547
69,16078237
70,691643
71,1446184
72,55625488
73,-704449
74,11805675
75,4909063
76,277979
77,43184
78,28325321
79,-498381
80,7216629
81,12011589
82,1981524
83,15033957
84,12055113
85,9895234
86,747278
87,18455748
88,2645916
89,185047900
90,2356732
91,784566
92,6933584
93,-182376
94,96157
95,-2077
96,-29093
97,98328946
98,4536913
99,312645
100,1051913
101,193943
102,26793315
103,-291762
104,20488489
105,39771553
106,433739
107,-721712
108,9274588
109,20470682
110,-736589
111,17260464
112,2234371
113,3767615
114,26228622
115,3773891
116,6998375
117,7868079
118,31101573
119,1581489
120,-781085
121,-45304
122,39231
123,56582
124,-21564
125,294208
126,12533007
127,-790541
128,161214
129,22953158
130,50456282
131,15453481
132,196533556
133,30224439
134,3386902
135,16256308
136,2213480
137,-676813
138,58867770
139,1585703
140,2331356
141,-384719
142,11897450
143,2067969
144,-447627
145,1369346
146,166185
147,-458118
148,3056933
149,407547
150,433193
151,30480
152,2803807
153,-790809
154,2676321
155,3306041
156,17439738
157,7697338
158,329893
159,98627877
160,2747131
161,-806766
162,662643
163,170173
164,-676354
165,85820909
166,4361519
167,4346388
168,2341086
169,2230372
170,6865997
171,258127
172,89167900
173,22643164
174,16015651
175,-129434
176,54589051
177,54255754
178,25280345
179,1044032
180,3004057
181,730716
182,1265141
183,6013710
184,30905899
185,894806
186,35348156
187,5801381
188,-102339
189,51374040
190,3642439
191,1804353
192,63599152
193,2440663
194,8057678
195,9229029
196,6870248
197,2698251
198,-174615
199,19066244
200,-306768
201,2176251
202,-585311
203,2961154
204,23048308
205,2517406
206,-528468
207,3735533
208,1621310
209,-218511
210,31260171
211,839759
212,277072
213,2758107
214,107255419
215,6770090
216,7827795
217,3168248
218,12022541
219,316798743
220,7249306
221,14730618
222,20574028
223,-303048
224,-305806
225,924443
226,29916786
227,-773719
228,10990346
229,7423020
230,-566689
231,169898040
232,-518764
233,-109911
234,31018573
235,3394859
236,-689314
237,212451793
238,1706884
239,47144673
240,87598779
241,682438
242,-572697
243,8138347
244,17249426
245,6832357
246,226603
247,134531546
248,4606419
249,-302557
250,750354
251,28661698
252,-578461
253,3366255
254,-231109
255,250771
256,-447721
257,302821
258,-321513
259,247015
260,433109
261,74327
262,-790030
263,652356
264,-667846
265,520595
266,-4474
267,764558
268,1010899
269,88717
270,19744820
271,5700394
272,362416
273,-13472
274,500979
275,14452109
276,3992245
277,46131364
278,11185905
279,-279792
280,78204398
281,127417
282,9797423
283,20508847
284,-760999
285,20428256
286,31054616
287,1230317
288,13542556
289,81438601
290,2760255
291,917827
292,1772687
293,4041981
294,4122989
295,2061008
296,6960944
297,20662500
298,17101952
299,3551102
300,2894808
301,2499142
302,513982
303,-522331
304,-6660
305,434262
306,2795059
307,152071978
308,2575864
309,336846
310,603843
311,112463
312,2292826
313,11636101
314,-866122
315,3640472
316,-681463
317,1809323
318,2701090
319,1294657
320,473021
321,291733903
322,6659318
323,6095235
324,30734488
325,20450582
326,2064203
327,174889
328,-182668
329,1651207
330,23376870
331,3427407
332,54952989
333,1132102
334,92055278
335,62180111
336,2953290
337,4555379
338,39043387
339,1938964
340,871768
341,6607
342,197897
343,92978965
344,6621403
345,30031469
346,20594166
347,1098796
348,10563056
349,-126449
350,14340102
351,-441562
352,2667261
353,-672097
354,3723613
355,-396701
356,231588
357,402893
358,70005
359,41553775
360,18521179
361,3664523
362,-766991
363,973675
364,4150325
365,-3042
366,5185459
367,54099472
368,2096147
369,30849745
370,3238502
371,-416545
372,58168183
373,7242915
374,4075803
375,266529
376,1923311
377,533584
378,139142
379,11689225
380,1369963
381,-610684
382,24559
383,44463
384,805629
385,-739992
386,1136455
387,351830
388,1981193
389,64680
390,1044199
391,-701187
392,689820
393,6586620
394,4975804
395,128814
396,74130898
397,496727
398,433830
399,2947665
