Iteration,Jitter_ns
0,1414750
1,69722
2,55644
3,114219
4,728996
5,899594
6,1005855
7,941119
8,510914
9,250748
10,724350
11,184300
12,147344
13,799556
14,527729
15,987726
16,117582
17,786117
18,288382
19,1471215
20,748518
21,1365265
22,777905
23,591748
24,603978
25,1482285
26,425245
27,854827
28,430623
29,1131615
30,797985
31,1354386
32,1020824
33,985973
34,413498
35,477946
36,349321
37,566998
38,1473646
39,1010665
40,966378
41,325800
42,608399
43,553558
44,950921
45,962638
46,938873
47,778353
48,109772
49,939605
50,551405
51,882470
52,161765
53,826762
54,1003728
55,614397
56,870705
57,837010
58,326133
59,5417151
60,74270
61,611254
62,711656
63,62055
64,222020
65,611228
66,139836
67,359880
68,644993
69,343023
70,428150
71,534278
72,150278
73,763722
74,526026
75,119676
76,949409
77,167910
78,745617
79,79190
80,1163809
81,1148878
82,64133
83,240222
84,547198
85,47828
86,200898
87,801724
88,459350
89,99391
90,866449
91,71312
92,968122
93,148952
94,1044584
95,242982
96,811018
97,87419
98,227058
99,726394
100,838173
101,1897097
102,1616277
103,950237
104,222341
105,992390
106,447043
107,970640
108,773791
109,155654
110,859132
111,869537
112,217772
113,1335596
114,1327263
115,549457
116,980142
117,607930
118,946147
119,35978
120,663543
121,124770
122,1013624
123,122914
124,595867
125,1554454
126,87917
127,626728
128,366628
129,886017
130,202953
131,1662519
132,633260
133,875344
134,779259
135,186769
136,1076339
137,417550
138,1285687
139,251755
140,605650
141,1031950
142,340373
143,1301199
144,1081747
145,1174236
146,623125
147,876793
148,279034
149,174882
150,757214
151,1051720
152,206968
153,834540
154,351333
155,2283168
156,485731
157,836785
158,1129147
159,600933
160,298976
161,1044576
162,419462
163,1058791
164,682445
165,790302
166,1374891
167,135814
168,829688
169,144865
170,1109644
171,635357
172,190918
173,1322167
174,343050
175,512493
176,212629
177,336253
178,1392991
179,770654
180,947259
181,430531
182,407009
183,910223
184,954144
185,1267170
186,303840
187,902081
188,924180
189,762686
190,195652
191,1193944
192,315374
193,307499
194,1683873
195,1011326
196,503781
197,1025678
198,775723
199,827954
200,1256474
201,585570
202,561511
203,305959
204,1445539
205,568131
206,218885
207,141603
208,185564
209,273123
210,9356610
211,42824624
212,259835
213,448999
214,25111633
215,479079
216,1506719
217,1565500
218,618087
219,1989328
220,221188
221,281330
222,911405
223,1118090
224,1009501
225,510140
226,987525
227,857059
228,235848
229,514360
230,948346
231,424397
232,77605
233,812223
234,23022
235,48834
236,825361
237,1010976
238,599595
239,49065
240,88116
241,78593
242,830530
243,743629
244,119115
245,1475762
246,51692
247,758564
248,118683
249,52029
250,850308
251,70919
252,4145323
253,573008
254,537794
255,1170219
256,95829
257,106478
258,1092663
259,98444
260,799279
261,971168
262,123377
263,1865622
264,180954
265,749455
266,175160
267,935225
268,1295165
269,131788
270,900618
271,114986
272,738809
273,1114075
274,907988
275,1557147
276,387542
277,611405
278,899927
279,524344
280,367970
281,147453
282,409234
283,1218569
284,791137
285,944356
286,898100
287,1558488
288,591871
289,364066
290,966089
291,938631
292,1362918
293,345108
294,668162
295,1006512
296,1370920
297,482447
298,1791474
299,737488
300,896780
301,685542
302,121088
303,816364
304,570534
305,89739
306,815854
307,161701
308,818549
309,228811
310,660029
311,569078
312,68978
313,78565
314,901409
315,901272
316,82665
317,871454
318,374592
319,110017
320,1106150
321,116907
322,1965751
323,167326
324,902312
325,140575
326,779153
327,228593
328,854417
329,361298
330,606017
331,543592
332,936846
333,1021109
334,917617
335,884435
336,500841
337,1025886
338,272889
339,828137
340,904356
341,838400
342,136017
343,367567
344,330858
345,603478
346,289299
347,703360
348,254468
349,206601
350,1003719
351,312648
352,567276
353,151540
354,1043650
355,911892
356,234339
357,229686
358,299675
359,724041
360,989350
361,907504
362,1002455
363,784623
364,627983
365,234991
366,1695095
367,194274
368,711513
369,755857
370,757088
371,174796
372,731766
373,498398
374,445012
375,1517680
376,878183
377,1385418
378,681787
379,883468
380,429767
381,333568
382,1238206
383,493288
384,856524
385,933247
386,1620835
387,405831
388,1269263
389,903815
390,1093418
391,854211
392,1129427
393,931485
394,909413
395,941570
396,942692
397,573760
398,941722
399,842985
400,937360
401,207662
402,692873
403,509378
404,115296
405,772105
406,175763
407,862576
408,965281
409,300544
410,167204
411,1944741
412,177173
413,1674123
414,198852
415,1382491
416,911045
417,454797
418,505791
419,1302093
420,804665
421,760115
422,789286
423,932896
424,964971
425,926054
426,1403348
427,234467
428,1193615
429,534678
430,981087
431,918464
432,604675
433,1864328
434,479193
435,781515
436,730187
437,1454565
438,947953
439,972489
440,1038676
441,1384798
442,1019200
443,418314
444,1452290
445,925359
446,946713
447,863930
448,1015416
449,244094
450,294244
451,424365
452,265637
453,1116659
454,440332
455,160271
456,838217
457,932940
458,402333
459,828339
460,1253366
461,457178
462,482527
463,282997
464,672333
465,939633
466,161202
467,302404
468,691046
469,528929
470,678363
471,968575
472,227938
473,1305711
474,883406
475,1023071
476,139101
477,692392
478,960781
479,601770
480,943008
481,1011646
482,719235
483,165930
484,1004319
485,506047
486,929689
487,754420
488,157743
489,1319740
490,630413
491,635310
492,297773
493,481654
494,954050
495,1110205
496,779440
497,1562942
498,249600
499,618414
500,217301
501,316044
502,408541
503,1525557
504,194817
505,662890
506,927808
507,189835
508,1182151
509,382599
510,575641
511,952716
512,631237
513,1757128
514,1189569
515,433473
516,844166
517,1014744
518,975745
519,731891
520,453929
521,1347226
522,736798
523,974143
524,269606
525,594112
526,1596879
527,207087
528,331595
529,364227
530,1017227
531,183521
532,664985
533,1802633
534,683034
535,562205
536,363496
537,974175
538,170809
539,302499
540,972786
541,929011
542,956229
543,943785
544,239912
545,590561
546,705789
547,931613
548,175196
549,1037527
550,1518959
551,706553
552,284938
553,596642
554,1326378
555,690433
556,1341114
557,698149
558,922898
559,971872
560,1288336
561,1134579
562,1357152
563,176611
564,158228
565,514828
566,1256038
567,1264333
568,246906
569,1000968
570,604405
571,968804
572,938684
573,1571737
574,348295
575,1365418
576,388754
577,1024902
578,1224013
579,1222476
580,1243834
581,641576
582,866867
583,947200
584,606145
585,658163
586,288451
587,993861
588,872851
589,1984537
590,537218
591,891414
592,256202
593,707277
594,1532549
595,704606
596,1271674
597,883115
598,962839
599,1733371
600,839732
601,966292
602,853371
603,929292
604,1008303
605,474656
606,978104
607,884231
608,1014930
609,1829753
610,1535268
611,828523
612,416418
613,731021
614,884718
615,1851919
616,578791
617,1091413
618,884444
619,1026446
620,349442
621,1124402
622,1319918
623,644826
624,2307348
625,2630357
626,1114545
627,346420
628,1744814
629,1402179
630,356563
631,561594
632,942258
633,431809
634,593235
635,593979
636,829884
637,1023971
638,246146
639,966423
640,602482
641,1664670
642,734743
643,262472
644,943173
645,427368
646,555481
647,169985
648,906860
649,954076
650,369043
651,505260
652,281662
653,2335856
654,6734719
655,29002
656,363796
657,239711
658,725533
659,26262
660,25579
661,95747
662,959590
663,1354868
664,963141
665,42403
666,35790
667,32866
668,806654
669,1012705
670,399169
671,88095
672,32928
673,863523
674,98260
675,823855
676,868378
677,1573072
678,105204
679,848093
680,58501
681,852793
682,68837
683,1453226
684,956516
685,94339
686,822576
687,104931
688,1081286
689,103034
690,603058
691,338081
692,496559
693,146563
694,402363
695,387281
696,913307
697,817327
698,948754
699,574817
700,408100
701,1274092
702,872207
703,606708
704,898457
705,989487
706,632588
707,938092
708,1808204
709,744336
710,1233464
711,1025352
712,376730
713,512322
714,1436637
715,1458633
716,591369
717,1149660
718,710790
719,531232
720,564226
721,449329
722,991305
723,1282021
724,889729
725,419944
726,1213349
727,756748
728,855143
729,962586
730,1709219
731,747370
732,1006790
733,271827
734,855282
735,740428
736,684425
737,978816
738,834174
739,1241097
740,715857
741,1584394
742,824470
743,482706
744,452006
745,1289352
746,571356
747,598546
748,753883
749,248620
750,1127872
751,636308
752,935118
753,1534737
754,1006246
755,302859
756,454408
757,1025634
758,1500592
759,408793
760,559306
761,626019
762,224053
763,1276984
764,1230975
765,950842
766,1020806
767,980271
768,230020
769,643209
770,1560019
771,366837
772,486146
773,975482
774,990203
775,215641
776,346883
777,921261
778,246581
779,902741
780,947849
781,1024050
782,533859
783,1361940
784,711665
785,816163
786,839408
787,1596072
788,440435
789,448991
790,953850
791,360034
792,828179
793,1420990
794,987909
795,923673
796,961042
797,182328
798,732788
799,1555026
800,1311670
801,638158
802,1208151
803,922178
804,500717
805,1012723
806,903284
807,664771
808,332600
809,419944
810,1337980
811,933490
812,1607779
813,394672
814,637056
815,6164008
816,1350255
817,1245219
818,1789162
819,705321
820,503930
821,1383997
822,1368792
823,440795
824,497141
825,1577207
826,168884
827,781560
828,180919
829,769225
830,970420
831,122577
832,818994
833,955212
834,1010987
835,492320
836,960812
837,153600
838,677094
839,1094477
840,787953
841,675595
842,766538
843,121958
844,150233
845,681055
846,274225
847,681992
848,532327
849,996440
850,242087
851,624032
852,947156
853,962486
854,567401
855,955922
856,438302
857,509462
858,964099
859,822515
860,758983
861,937532
862,320688
863,605967
864,971140
865,849955
866,419487
867,57184
868,219736
869,723373
870,207185
871,816398
872,262079
873,1197245
874,961534
875,209352
876,471715
877,248044
878,930216
879,199622
880,329102
881,963746
882,296826
883,88933
884,1369442
885,176446
886,1391936
887,140515
888,965509
889,775379
890,142937
891,744890
892,74804
893,406915
894,620960
895,418885
896,1220676
897,1041790
898,917415
899,560545
900,1045111
901,1023739
902,1353295
903,539219
904,1428831
905,791888
906,366232
907,959080
908,295693
909,110380
910,1572332
911,124694
912,876673
913,155305
914,833904
915,812468
916,143952
917,1367568
918,232741
919,711574
920,1019124
921,182478
922,796251
923,576019
924,151854
925,1006635
926,716986
927,494751
928,482638
929,424889
930,175073
931,830880
932,946717
933,286197
934,1066833
935,649472
936,611600
937,869757
938,951544
939,1027658
940,924053
941,1500587
942,958361
943,961852
944,1128457
945,879637
946,1575112
947,421798
948,980457
949,456936
950,879370
951,975217
952,564110
953,1028084
954,1012025
955,1250556
956,574611
957,1473081
958,909594
959,645214
960,403938
961,1472947
962,410247
963,1148633
964,340632
965,1270658
966,621084
967,1137899
968,1312918
969,944049
970,894546
971,992640
972,933196
973,1958465
974,578330
975,1672765
976,777194
977,448249
978,1473056
979,829263
980,1125481
981,1044511
982,937500
983,2252704
984,975879
985,390146
986,650174
987,968522
988,228762
989,325809
990,906809
991,945675
992,970346
993,893108
994,592322
995,940089
996,1535934
997,420805
998,442563
999,953661
1000,1007921
1001,865158
1002,582426
1003,323468
1004,181996
1005,759921
1006,147200
1007,337735
1008,1017288
1009,968810
1010,233317
1011,928353
1012,255786
1013,1859361
1014,710481
1015,573001
1016,944520
1017,374866
1018,637638
1019,929938
1020,542292
1021,1217542
1022,1454947
1023,859540
1024,791686
1025,944607
1026,853545
1027,361089
1028,1497630
1029,93414
1030,431111
1031,75437
1032,853460
1033,54068
1034,73110
1035,784558
1036,41977
1037,1429789
1038,303763
1039,643057
1040,123648
1041,1243028
1042,683906
1043,1492300
1044,190257
1045,1200639
1046,461965
1047,418935
1048,834728
1049,1685113
1050,720831
1051,432161
1052,809982
1053,649253
1054,521359
1055,870285
1056,338524
1057,572243
1058,367398
1059,899726
1060,220029
1061,643958
1062,789038
1063,1138852
1064,756953
1065,882728
1066,983654
1067,1473042
1068,1010911
1069,233610
1070,657329
1071,934994
1072,1190789
1073,1242506
1074,1003776
1075,902023
1076,969317
1077,1196243
1078,633480
1079,603202
1080,994440
1081,982724
1082,885592
1083,1702106
1084,788945
1085,852966
1086,1127173
1087,743385
1088,195603
1089,1301173
1090,350377
1091,762613
1092,937822
1093,909365
1094,1369179
1095,899698
1096,118763
1097,763233
1098,968169
1099,104312
1100,1405914
1101,163606
1102,745377
1103,250704
1104,706162
1105,212485
1106,722030
1107,546752
1108,195381
1109,777585
1110,1011106
1111,524382
1112,1219508
1113,904318
1114,1098622
1115,641306
1116,940118
1117,996255
1118,1475293
1119,319518
1120,613297
1121,931360
1122,1027532
1123,400640
1124,1079676
1125,937121
1126,1203033
1127,1094737
1128,838748
1129,422923
1130,296297
1131,683933
1132,229831
1133,667373
1134,274149
1135,758478
1136,2036393
1137,515309
1138,1091208
1139,1586969
1140,800265
1141,733086
1142,132864
1143,1845669
1144,1147552
1145,406719
1146,682004
1147,1160967
1148,451739
1149,1507138
1150,1088591
1151,752227
1152,431694
1153,69478
1154,884390
1155,47003
1156,1052134
1157,627899
1158,78397
1159,1455106
1160,48076
1161,1158001
1162,784970
1163,126810
1164,1146691
1165,388139
1166,1536780
1167,55813
1168,48024
1169,825029
1170,68571
1171,967303
1172,88363
1173,912744
1174,1098440
1175,62094
1176,70387
1177,91689
1178,1033131
1179,870926
1180,57565
1181,854227
1182,74494
1183,98077
1184,729435
1185,82248
1186,1427590
1187,402636
1188,407339
1189,101751
1190,307631
1191,545841
1192,51134
1193,1648074
1194,1257853
1195,658339
1196,1255867
1197,689407
1198,525450
1199,977446
1200,879708
1201,265253
1202,896738
1203,1181769
1204,463198
1205,1040282
1206,325077
1207,204009
1208,62365
1209,64325
1210,764108
1211,556026
1212,504592
1213,489121
1214,474348
1215,474762
1216,107695
1217,839607
1218,692962
1219,1027020
1220,1009965
1221,1296266
1222,838055
1223,1813550
1224,619664
1225,539081
1226,610347
1227,971516
1228,180538
1229,1411725
1230,792720
1231,155074
1232,1111131
1233,737255
1234,872021
1235,944122
1236,476527
1237,227085
1238,655643
1239,981222
1240,948750
1241,529340
1242,167047
1243,722168
1244,1004881
1245,145614
1246,788808
1247,1517360
1248,216168
1249,725031
1250,864301
1251,244964
1252,799146
1253,1479726
1254,238964
1255,780706
1256,270121
1257,581315
1258,929862
1259,160788
1260,366671
1261,499950
1262,381148
1263,231026
1264,760624
1265,961678
1266,1492714
1267,803812
1268,1036214
1269,567641
1270,659784
1271,807234
1272,923889
1273,618907
1274,915030
1275,934002
1276,960182
1277,1547512
1278,799191
1279,189467
1280,754736
1281,615002
1282,695332
1283,1604542
1284,436525
1285,957634
1286,1845874
1287,1189723
1288,423241
1289,910730
1290,251131
1291,1012924
1292,952957
1293,931421
1294,515674
1295,753792
1296,1005156
1297,402721
1298,793022
1299,722145
1300,507333
1301,968373
1302,212330
1303,233394
1304,562578
1305,1216442
1306,1196992
1307,1004789
1308,931795
1309,957254
1310,935317
1311,1453148
1312,249294
1313,665796
1314,989546
1315,921944
1316,974218
1317,560451
1318,1224005
1319,783967
1320,1790911
1321,1177011
1322,270948
1323,954592
1324,967498
1325,959896
1326,439804
1327,494020
1328,563262
1329,874491
1330,1588527
1331,1336294
1332,1001165
1333,371786
1334,183006
1335,234294
1336,571198
1337,1030469
1338,792107
1339,214598
1340,1308949
1341,232447
1342,745125
1343,937449
1344,173904
1345,768509
1346,529214
1347,196086
1348,739502
1349,1326589
1350,1047085
1351,483973
1352,1077820
1353,524444
1354,1893954
1355,197738
1356,665370
1357,181437
1358,373366
1359,923865
1360,946279
1361,226893
1362,761940
1363,1007539
1364,459558
1365,1261255
1366,654308
1367,264016
1368,1654405
1369,1507909
1370,995003
1371,889763
1372,987708
1373,936726
1374,367267
1375,351243
1376,1300501
1377,397135
1378,957476
1379,884259
1380,350716
1381,4747686
1382,291694
1383,266176
1384,693001
1385,557201
1386,1061355
1387,861329
1388,53350
1389,869818
1390,842015
1391,1119918
1392,255894
1393,1147579
1394,90085
1395,822780
1396,308379
1397,1370707
1398,229398
1399,767809
1400,1832393
1401,1247335
1402,1252150
1403,791047
1404,282107
1405,763444
1406,2071924
1407,1615126
1408,840527
1409,866258
1410,857661
1411,1022756
1412,1467614
1413,1017348
1414,857262
1415,965206
1416,955756
1417,1570565
1418,1239126
1419,664213
1420,927119
1421,1517946
1422,2311755
1423,626218
1424,1004465
1425,827102
1426,996888
1427,484474
1428,1293132
1429,615849
1430,1194785
1431,758306
1432,1541487
1433,725174
1434,288300
1435,629394
1436,921039
1437,454636
1438,1149646
1439,770951
1440,77480
1441,180051
1442,1670989
1443,142889
1444,1402710
1445,147143
1446,967162
1447,197534
1448,255417
