Iteration,Jitter_ns
0,1037586
1,83476
2,134771
3,70648
4,853387
5,100654
6,936606
7,387982
8,132427
9,80547
10,90821
11,788042
12,111431
13,777959
14,978989
15,149312
16,323807
17,1023052
18,193898
19,349616
20,2487607
21,263372
22,1049208
23,116256
24,91911
25,6136305
26,711231
27,58787
28,690019
29,59224
30,88599
31,150624
32,1422148
33,39137
34,23274
35,70765
36,69706
37,680065
38,825122
39,76723
40,624187
41,70999
42,140277
43,673148
44,125039
45,885031
46,951909
47,588596
48,396659
49,665051
50,227627
51,776819
52,1045419
53,1492074
54,176853
55,649712
56,137111
57,972244
58,986270
59,1487809
60,240903
61,489069
62,965399
63,119582
64,983243
65,1409424
66,126633
67,29824
68,554511
69,2796786
70,406724
71,204421
72,74987
73,120610
74,158449
75,67968
76,698516
77,800054
78,1648101
79,57538
80,3016434
81,1118869
82,543296
83,1460127
84,70928
85,814793
86,75775
87,99802
88,1280605
89,78935
90,989436
91,105932
92,113707
93,631327
94,75714
95,832247
96,1566417
97,152777
98,724622
99,151493
100,880133
101,834537
102,160360
103,486019
104,1202370
105,758243
106,802888
107,92519
108,849836
109,698607
110,1063490
111,1034185
112,626198
113,942451
114,318937
115,1197703
116,32633
117,1055419
118,952689
119,1040385
120,412629
121,1041847
122,941024
123,970160
124,993804
125,989899
126,560845
127,1008725
128,596282
129,34982
130,124405
131,764059
132,187239
133,267562
134,203854
135,916549
136,952138
137,314700
138,529365
139,1557958
140,913071
141,747944
142,97872
143,462539
144,526295
145,2119642
146,697499
147,789961
148,132604
149,1127325
150,516177
151,1450336
152,580201
153,880636
154,684731
155,280047
156,1258923
157,306934
158,742954
159,861852
160,86332
161,880642
162,125663
163,1341110
164,181385
165,806587
166,698064
167,272100
168,995972
169,171131
170,338899
171,946983
172,912679
173,977700
174,331561
175,549325
176,1797020
177,802331
178,148726
179,736720
180,740002
181,151621
182,898184
183,879735
184,896248
185,336223
186,869573
187,547473
188,509008
189,1049491
190,933098
191,1056298
192,685162
193,155062
194,511073
195,870243
196,161886
197,277824
198,477495
199,976467
200,726764
201,798741
202,987634
203,918105
204,572379
205,397950
206,1685700
207,355266
208,659170
209,382238
210,801662
211,558009
212,422953
213,1076816
214,851910
215,947426
216,929402
217,305503
218,1569581
219,985882
220,1296825
221,252532
222,820415
223,237467
224,516371
225,826409
226,887643
227,313100
228,580189
229,223041
230,1240244
231,164302
232,304337
233,405928
234,974000
235,119293
236,858261
237,919845
238,846681
239,1346229
240,395975
241,453292
242,291430
243,916214
244,843789
245,565004
246,365381
247,322552
248,3154752
249,9799456
250,12722742
251,633066
252,6051166
253,3142784
254,13636111
255,5409354
256,2030629
257,359094
258,914508
259,926657
260,7291446
261,3842420
262,3072166
263,1292776
264,2849849
265,2539949
266,2029248
267,385226
268,1448683
269,453474
270,39639232
271,664097
272,812601
273,1294825
274,1103134
275,2684056
276,982533
277,720123
278,25525
279,788314
280,689175
281,2855027
282,746745
283,9409029
284,1815053
285,122977
286,2814606
287,1958715
288,12714966
289,32165
290,1091866
291,6335867
292,6607768
293,296570
294,253920
295,477648
296,187063
297,1813308
298,33015
299,2717728
300,975891
301,182133956
302,98409
303,76474
304,367842
305,3117451
306,968031
307,485136
308,912792
309,12764394
310,439772
311,138639
312,3520551
313,88335
314,1887039
315,88871
316,245868
317,1265521
318,839665
319,994352
320,69191
321,3673531
322,1920764
323,779825
324,4585277
325,19320750
326,18748130
327,14354492
328,10782095
329,7039737
330,4768269
331,592689
332,43930516
333,10510423
334,620328
335,6979733
336,7030103
337,6812068
338,6316300
339,4531063
340,1830289
341,1362590
342,4645459
343,171308
344,6798645
345,14268110
346,11414158
347,1138739
348,226734
349,529972
350,376084
351,1160909
352,1901238
353,1849101
354,588608
355,142690
356,1663242
357,185743
358,1580156
359,188359133
360,1421984
361,808241
362,2700999
363,1679695
364,278935
365,1171147
366,2140203
367,1045417
368,1040309
369,296692
370,2446795
371,1446790
372,379230
373,666120
374,885444
375,941019
376,965555
377,640178
378,72054
379,684930
380,268652
381,812979
382,1255485
383,1166507
384,56112
385,28094
386,689727
387,88113
388,277138
389,712326
390,40951
391,471128
392,945033
393,216656
394,686944
395,989039
396,84146
397,1276852
398,106377
399,931739
400,138597
401,775233
402,107670
403,714286
404,1635491
405,115685
406,138323
407,691576
408,890104
409,932162
410,628768
411,1028708
412,890626
413,218855
414,699046
415,221177
416,1273712
417,210558
418,910707
419,1578656
420,85945
421,68926
422,895273
423,590679
424,997598
425,267502
426,639929
427,135002
428,812924
429,540795
430,228386
431,632368
432,975647
433,66941
434,17835
435,749154
436,575921
437,1041510
438,157407
439,628761
440,1081339
441,96638
442,1298828
443,39286
444,54237
445,895476
446,206817
447,593768
448,55853
449,1549058
450,151309
451,793090
452,67589
453,862212
454,912784
455,138802
456,970755
457,449949
458,130428
459,1512268
460,233454
461,981904
462,533448
463,967443
464,204959
465,700332
466,959743
467,1035222
468,541605
469,265405
470,622421
471,918548
472,931173
473,190474
474,1315076
475,1010580
476,141649
477,777461
478,279000
479,589151
480,555792
481,923814
482,873649
483,1002255
484,641458
485,11245386
486,861701
487,78601
488,70430
489,684813
490,936645
491,1053224
492,156120
493,327182
494,59110
495,776429
496,1082301
497,81705
498,44337
499,764660
500,1671451
501,782670
502,79817
503,1041505
504,47867
505,732015
506,1412465
507,81038
508,1928438
509,46487
510,1849567
511,530312
512,989552
513,153931
514,794361
