Iteration,Jitter_ns
0,600925
1,90463
2,47875
3,467041
4,32103
5,44816
6,877990
7,43365
8,501057
9,213320
10,117913
11,669560
12,734636
13,457649
14,288732
15,182634
16,1030658
17,102970
18,538806
19,1506079
20,1928161
21,434522
22,703118
23,591054
24,109795
25,1805416
26,56035
27,859039
28,41031
29,77970
30,357253
31,38500
32,79271
33,831039
34,42140
35,900621
36,30773
37,1595526
38,123137
39,640042
40,100062
41,843866
42,109985
43,907304
44,1504841
45,197094
46,716998
47,101553
48,851595
49,120676
50,1563094
51,334939
52,900914
53,755660
54,303801
55,646436
56,1735569
57,175066
58,709491
59,853017
60,190865
61,765361
62,132894
63,418667
64,110784
65,1243227
66,6844930
67,1874822
68,99832
69,964529
70,74976
71,1289986
72,68779
73,57615
74,64215
75,108757
76,828495
77,166047
78,53207
79,1335530
80,1366550
81,1409829
82,78343
83,1140911
84,1419715
85,68089
86,41495
87,2647144
88,228898
89,59198
90,72840
91,277705
92,30365
93,36519
94,723913
95,218984
96,101720
97,40637
98,44029
99,26864
100,450938
101,19732
102,61065
103,141506
104,916146
105,831207
106,71023
107,1388246
108,143820
109,1004544
110,118323
111,808728
112,767230
113,54496
114,465142
115,89571
116,850743
117,64790
118,801836
119,1114314
120,4403241
121,1040416
122,55683
123,70246
124,760641
125,1400662
126,100297
127,950787
128,51664
129,931397
130,747187
131,644081
132,72402
133,784821
134,85318
135,1028168
136,91476
137,930480
138,557603
139,96270
140,748572
141,900199
142,88490
143,393119
144,422223
145,566855
146,1006509
147,157728
148,151487
149,560390
150,114723
151,684255
152,756809
153,148343
154,785461
155,107327
156,861615
157,116929
158,769103
159,1786137
160,916578
161,695037
162,280939
163,1308643
164,957039
165,215446
166,788069
167,1089447
168,192289
169,635164
170,1752429
171,993448
172,720782
173,133796
174,865124
175,190364
176,1265239
177,113517
178,826541
179,204052
180,729525
181,949454
182,1525762
183,198194
184,713819
185,125415
186,835595
187,942815
188,1524559
189,150563
190,955563
191,812846
192,892896
193,499149
194,945098
195,126503
196,794714
197,131844
198,211204
199,577716
200,129214
201,1335305
202,748474
203,502125
204,302324
205,419496
206,835868
207,153339
208,446493
209,100173
210,753194
211,222743
212,786300
213,94575
214,843569
215,535027
216,971598
217,928725
218,215932
219,759502
220,113503
221,1388268
222,242406
223,666260
224,923993
225,175977
226,1203454
227,1091141
228,162632
229,814698
230,1109604
231,752048
232,185014
233,241827
234,237307
235,768531
236,971156
237,261553
238,685457
239,879749
240,546333
241,202290
242,747562
243,1186031
244,739051
245,207562
246,325498
247,256249
248,647863
249,926857
250,256801
251,210642
252,395625
253,143861
254,414115
255,144599
256,1045431
257,1211903
258,462293
259,977128
260,539514
261,1014117
262,333933
263,520183
264,947614
265,172594
266,1416758
267,538722
268,314110
269,817834
270,45566
271,902809
272,55310
273,447243
274,1091191
275,944471
276,683840
277,696815
278,232927
279,1600614
280,566325
281,1059151
282,827943
283,1014994
284,2001211
285,546862
286,503885
287,800108
288,162004
289,808519
290,557094
291,960586
292,134967
293,778012
294,369480
295,566753
296,884096
297,514329
298,154147
299,813520
300,98030
301,766009
302,176364
303,266169
304,158138
305,960044
306,135846
307,981708
308,684838
309,295877
310,1293926
311,130069
312,440014
313,263299
314,933869
315,140406
316,314899
317,1026649
318,635046
319,345842
320,986450
321,920497
322,1002545
323,514936
324,896061
325,980191
326,955580
327,923969
328,1527288
329,191374
330,762179
331,268484
332,979081
333,624527
334,299231
335,232116
336,966691
337,934838
338,982683
339,261291
340,636667
341,1553115
342,940732
343,938112
344,972866
345,170279
346,1316129
347,410928
348,537094
349,987168
350,798629
351,173343
352,167853
353,163783
354,136203
355,765939
356,989983
357,311820
358,622198
359,170673
360,405107
361,1122661
362,203757
363,217188
364,866273
365,905370
366,10825735
367,73770
368,407072
369,70510
370,892511
371,23105
372,71687
373,803926
374,531778
375,97932
376,822070
377,70713
378,896699
379,81115
380,890802
381,438016
382,96120
383,953229
384,126472
385,735295
386,312789
387,468272
388,759271
389,964646
390,986656
391,999687
392,544336
393,1183053
394,715456
395,148402
396,72730
397,547881
398,572261
399,480474
400,1805950
401,195346
402,802912
403,699244
404,1133186
405,619335
406,555681
407,165837
408,845678
409,835002
410,478762
411,490734
412,387429
413,126856
414,976905
415,995087
416,499867
417,124956
418,197691
419,163506
420,477196
421,821401
422,154136
423,747115
424,119386
425,847060
426,1465522
427,155325
428,824847
429,110705
430,800633
431,121834
432,806143
433,568631
434,122822
435,754417
436,378849
437,771225
438,779219
439,128243
440,386906
441,950635
442,162911
443,725738
444,968948
445,143159
446,270241
447,285853
448,774089
449,994107
450,239492
451,652225
452,208454
453,1244238
454,154495
455,860378
456,968205
457,939113
458,140074
459,1323909
460,169813
461,787652
462,112777
463,763797
464,962362
465,202046
466,1146742
467,176055
468,946766
469,253489
470,641435
471,381616
472,1110294
473,147100
474,782336
475,163969
476,728588
477,157267
478,805076
479,490611
480,95020
481,1005972
482,205710
483,3341186
484,2067300
485,568665
486,41429
487,53965
488,717539
489,65527
490,1399732
491,64282
492,50836
493,743798
494,99421
495,900292
496,118076
497,1613677
498,646659
499,118869
500,875637
501,42283
502,879528
503,63584
504,458400
505,155204
506,790635
507,965317
508,127633
509,-40259
510,564017
511,839002
512,9625582
513,21382865
514,1301966
515,14492277
516,13590997
517,581233
518,9413367
519,965197
520,4562451
521,62291
