Iteration,Jitter_ns
0,2814823
1,3424653
2,13647806
3,-690734
4,3283615
5,14346299
6,-117103
7,3288321
8,8341903
9,36435115
10,11033353
11,1809725
12,1191449
13,2127955
14,6049821
15,9627112
16,13307927
17,-676153
18,11422514
19,10205487
20,480288
21,2408727
22,-652927
23,9762904
24,-125156
25,2369816
26,3147819
27,1898962
28,-93664
29,3508928
30,4043905
31,205746
32,19091170
33,20374180
34,30591738
35,-422016
36,6355259
37,74160153
38,2299884
39,-186816
40,11843138
41,2996307
42,24235837
43,31003981
44,13785519
45,-852157
46,30770
47,851158
48,88352
49,7400
50,677282
51,-45327
52,11215696
53,-248054
54,-244123
55,1437742
56,-580807
57,-182999
58,108373
59,1376465
60,9276930
61,-778531
62,11705524
63,-741650
64,81473185
65,12731031
66,8063687
67,13566424
68,428590
69,14872271
70,1340026
71,-91983
72,2492098
73,6885772
74,17225814
75,41238192
76,15741539
77,3794579
78,1758239
79,3024528
80,-512480
81,110619560
82,3447864
83,4864261
84,1182589
85,28901945
86,7772765
87,606722
88,10269417
89,3383428
90,37283323
91,-48067
92,28558
93,52294419
94,342079
95,1381357
96,-354641
97,4964636
98,19742491
99,-705356
100,41389006
101,-245177
102,1932072
103,1492387
104,35052
105,-583203
106,1656903
107,-667918
108,290013
109,19440240
110,3587182
111,1774131
112,23108812
113,8423136
114,1838765
115,2036706
116,382562
117,2714052
118,-498956
119,38335072
120,3930837
121,-312188
122,2123749
123,1274778
124,3610712
125,10816195
126,8677347
127,-438593
128,1355341
129,28150823
130,3331482
131,144249984
132,3852890
133,403778
134,95466228
135,2594097
136,1049720
137,31243414
138,-762610
139,20240122
140,2616787
141,28445239
142,130895272
143,3814444
144,11940024
145,26795405
146,646423
147,6259289
148,2151618
149,642469
150,75828996
151,1989605
152,-320990
153,1179857
154,890722
155,795449
156,2032435
157,-813755
158,680742
159,-692665
160,-78244
161,370763
162,-41041
163,2723947
164,1611893
165,358687
166,3104933
167,-110459
168,528914
169,-275173
170,-247921
171,2131606
172,312474
173,2296501
174,-696268
175,3278108
176,6354224
177,3360460
178,2805997
179,30918543
180,548273
181,2262118
182,2633717
183,3026312
184,3506301
185,3845479
186,5151160
